Country|City|Code|Name
GREECE|ATHENS|ATH|ELEFTHERIOS VENIZELOS INTERNATIONAL AIRPORT
URUGUAY|ARTIGAS|ATI|ARTIGAS INTERNATIONAL AIRPORT
MADAGASCAR|ANTSIRABE|ATJ|ANTSIRABE AIRPORT
UNITED STATES|ATQASUK|ATK|ATQASUK EDWARD BURNELL SR MEMORIAL AIRPORT
UNITED STATES|ATLANTA|ATL|HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT
BRAZIL|ALTAMIRA|ATM|ALTAMIRA AIRPORT
INDIA|AMRITSAR|ATQ|SRI GURU RAM DASS JEE INTERNATIONAL AIRPORT
MAURITANIA|ATAR|ATR|ATAR INTERNATIONAL AIRPORT
UNITED STATES|APPLETON|ATW|APPLETON INTERNATIONAL AIRPORT
UNITED STATES|WATERTOWN|ATY|WATERTOWN REGIONAL AIRPORT
EGYPT|ASYUT|ATZ|ASSIUT INTERNATIONAL AIRPORT
ARUBA|ORANJESTAD|AUA|QUEEN BEATRIX INTERNATIONAL AIRPORT
COLOMBIA|ARAUCA|AUC|SANTIAGO PEREZ AIRPORT
FRANCE|AUXERRE|AUF|AUXERRE-BRANCHES AIRPORT
UNITED STATES|AUGUSTA|AUG|AUGUSTA STATE AIRPORT
UNITED ARAB EMIRATES|ABU DHABI|AUH|ABU DHABI INTERNATIONAL AIRPORT
UNITED STATES|ALAKANUK|AUK|ALAKANUK AIRPORT
UNITED STATES|AUBURN|AUO|AUBURN OPELIKA ROBERT G. PITTS AIRPORT
FRENCH POLYNESIA|HIVA-OA|AUQ|HIVA OA-ATUONA AIRPORT
FRANCE|AURILLAC|AUR|AURILLAC AIRPORT
UNITED STATES|AUSTIN|AUS|AUSTIN BERGSTROM INTERNATIONAL AIRPORT
AUSTRALIA|AURUKUN|AUU|AURUKUN AIRPORT
UNITED STATES|WAUSAU|AUW|WAUSAU DOWNTOWN AIRPORT
BRAZIL|ARAGUAINA|AUX|ARAGUAINA AIRPORT
VANUATU|ANELGHOWHAT|AUY|ANEITYUM AIRPORT
CHINA|ANSHUN|AVA|ANSHUN HUANGGUOSHU AIRPORT
ITALY|AVIANO|AVB|AVIANO AIR BASE
CUBA|CIEGO DE AVILA|AVI|MAXIMO GOMEZ AIRPORT
MONGOLIA|ARVAIKHEER|AVK|ARVAIKHEER AIRPORT
UNITED STATES|ASHEVILLE|AVL|ASHEVILLE REGIONAL AIRPORT
